name,lat,lng,type
心族宾馆,30.62670312733608,104.06199631704287,住宿服务;宾馆酒店;三星级宾馆
小憩驿站酒店(梦想家店),30.62463472603535,104.07215457748266,住宿服务;宾馆酒店;宾馆酒店
幻变艺术酒店,30.615785162423798,104.06380207951706,住宿服务;宾馆酒店;四星级宾馆
如家万友睿柏·云酒店,30.604587689691176,104.0991437889393,住宿服务;宾馆酒店;经济型连锁酒店
星座风尚视觉概念酒店(锦华店),30.62273505440773,104.09471577007696,住宿服务;宾馆酒店;三星级宾馆
蓉城假日酒店(高新店),30.596754877482546,104.07335544209927,住宿服务;宾馆酒店;经济型连锁酒店
向阳大厦宾馆,30.624345655268318,104.0652461074557,住宿服务;宾馆酒店;四星级宾馆
锦怡酒店(天和西一街),30.602331493887043,104.06772086565552,住宿服务;宾馆酒店;宾馆酒店
好莱斯登酒店(锦华万达店),30.610119098594875,104.09368942429337,住宿服务;宾馆酒店;四星级宾馆
成都佛莱雅酒店,30.61246652344163,104.07617244390433,住宿服务;宾馆酒店;宾馆酒店
百亨酒店,30.623936167873474,104.09378953114286,住宿服务;宾馆酒店;三星级宾馆
景阳酒店(丰德店),30.619034771715757,104.06620996122861,住宿服务;宾馆酒店;宾馆酒店
图滕铂雅酒店,30.61123269912957,104.07683214997685,住宿服务;宾馆酒店;四星级宾馆
君豪酒店,30.592853201032277,104.06619880830057,住宿服务;宾馆酒店;四星级宾馆
成都林兮精品民宿,30.626820139303618,104.06311731652072,住宿服务;住宿服务相关;住宿服务相关
成都三好驿站,30.60763685661405,104.06118892707286,住宿服务;住宿服务相关;住宿服务相关
成都嘉运酒店,30.614113802307134,104.0639221601044,住宿服务;宾馆酒店;四星级宾馆
成都summer sky普通公寓,30.611263727253032,104.07467290252366,住宿服务;住宿服务相关;住宿服务相关
S设计师酒店(成都人民南路美领馆店),30.627767865255304,104.06210116954696,住宿服务;住宿服务相关;住宿服务相关
尚客优骏怡酒店(琉璃场店),30.604004829927273,104.09566155969571,住宿服务;宾馆酒店;经济型连锁酒店
威斯凯尔·凯特酒店,30.58737372058042,104.05764350219626,住宿服务;宾馆酒店;四星级宾馆
成都地中海风情小屋,30.611525110604788,104.05936808323008,住宿服务;住宿服务相关;住宿服务相关
宜家民宿,30.609091705481344,104.0550636942265,住宿服务;旅馆招待所;旅馆招待所
康普雷斯国际酒店,30.60717058839854,104.0582397490503,住宿服务;宾馆酒店;四星级宾馆
成都麦田天阅酒店,30.6118159348462,104.05884087622829,住宿服务;宾馆酒店;四星级宾馆
心族宾馆,30.62670312733608,104.06199631704287,住宿服务;宾馆酒店;三星级宾馆
小憩驿站酒店(梦想家店),30.62463472603535,104.07215457748266,住宿服务;宾馆酒店;宾馆酒店
幻变艺术酒店,30.615785162423798,104.06380207951706,住宿服务;宾馆酒店;四星级宾馆
如家万友睿柏·云酒店,30.604587689691176,104.0991437889393,住宿服务;宾馆酒店;经济型连锁酒店
星座风尚视觉概念酒店(锦华店),30.62273505440773,104.09471577007696,住宿服务;宾馆酒店;三星级宾馆
蓉城假日酒店(高新店),30.596754877482546,104.07335544209927,住宿服务;宾馆酒店;经济型连锁酒店
