name,lat,lng,type
博林装订厂,30.72335900420409,103.98130069491756,公司企业;公司企业;公司企业
金牛区嘉鑫齿轮加工厂,30.72368494575113,103.98287350770434,公司企业;工厂;工厂
成都科光混凝土有限公司,30.726775304404587,103.98571241777123,公司企业;工厂;工厂
南充罐装包装生产线,30.73858538062671,103.9695441832948,公司企业;公司企业;公司企业
成都品佳不锈钢制造公司品佳厨具厂,30.725570252139402,103.98776697449985,公司企业;工厂;工厂
成都联怡厨房设备厂,30.7179355591029,103.97484068444852,公司企业;工厂;工厂
品佳不锈钢制造公司品佳家具厂,30.725694742769242,103.98804287136382,公司企业;公司企业;公司企业
五防轻体隔墙板生产厂,30.72468567944317,103.98785097165555,公司企业;工厂;工厂
西南石油学院金牛钻井液材料厂,30.72556272371627,103.98873910187297,公司企业;工厂;工厂
四川省第三建筑工程公司预制构件厂,30.723304804427567,103.95932608160741,公司企业;工厂;工厂
成都市金牛泰和齿轮厂,30.726274950095053,103.99339989568587,公司企业;工厂;工厂
成都金牛三轮车厂,30.731570418637997,103.99356465002099,公司企业;工厂;工厂
中国一汽四川专用汽车厂西厂区,30.736764740241338,103.99183918442981,公司企业;工厂;工厂
四川省松潘藏文印刷厂(和心路),30.74440980432488,103.98226947724743,公司企业;工厂;工厂
同友条码技术有限公司,30.74340391034556,103.96335463944253,公司企业;工厂;工厂
贵民雕塑厂,30.73648038553767,103.99446071458918,公司企业;公司企业;公司企业
华美牙科(义齿加工厂),30.741484424231615,103.95976921487089,公司企业;公司;公司
吉祥石艺术石材厂,30.73524030923983,103.99541477489312,公司企业;公司企业;公司企业
九年印务厂,30.72490540938717,103.99659379456718,公司企业;公司企业;公司企业
复二代数字印刷工厂,30.718126550206744,103.9930846629079,公司企业;公司企业;公司企业
欣丰平板厂,30.724202348503134,103.99741469171725,公司企业;公司企业;公司企业
巴蜀兰场特种植料厂,30.749062527408682,103.97681809340503,公司企业;工厂;工厂
兴磊石材厂,30.748730020436124,103.9824878853195,公司企业;工厂;工厂
郫县四合桥沟水质净化厂,30.748962622307925,103.98800049516323,公司企业;公司企业;公司企业
成都市天元模具厂,30.708188986818126,103.96579176118534,公司企业;工厂;工厂
博林装订厂,30.72335900420409,103.98130069491756,公司企业;公司企业;公司企业
金牛区嘉鑫齿轮加工厂,30.72368494575113,103.98287350770434,公司企业;工厂;工厂
成都科光混凝土有限公司,30.726775304404587,103.98571241777123,公司企业;工厂;工厂
南充罐装包装生产线,30.73858538062671,103.9695441832948,公司企业;公司企业;公司企业
成都品佳不锈钢制造公司品佳厨具厂,30.725570252139402,103.98776697449985,公司企业;工厂;工厂
成都联怡厨房设备厂,30.7179355591029,103.97484068444852,公司企业;工厂;工厂
品佳不锈钢制造公司品佳家具厂,30.725694742769242,103.98804287136382,公司企业;公司企业;公司企业
五防轻体隔墙板生产厂,30.72468567944317,103.98785097165555,公司企业;工厂;工厂
西南石油学院金牛钻井液材料厂,30.72556272371627,103.98873910187297,公司企业;工厂;工厂
四川省第三建筑工程公司预制构件厂,30.723304804427567,103.95932608160741,公司企业;工厂;工厂
成都市金牛泰和齿轮厂,30.726274950095053,103.99339989568587,公司企业;工厂;工厂
成都金牛三轮车厂,30.731570418637997,103.99356465002099,公司企业;工厂;工厂
中国一汽四川专用汽车厂西厂区,30.736764740241338,103.99183918442981,公司企业;工厂;工厂
四川省松潘藏文印刷厂(和心路),30.74440980432488,103.98226947724743,公司企业;工厂;工厂
同友条码技术有限公司,30.74340391034556,103.96335463944253,公司企业;工厂;工厂
贵民雕塑厂,30.73648038553767,103.99446071458918,公司企业;公司企业;公司企业
华美牙科(义齿加工厂),30.741484424231615,103.95976921487089,公司企业;公司;公司
吉祥石艺术石材厂,30.73524030923983,103.99541477489312,公司企业;公司企业;公司企业
九年印务厂,30.72490540938717,103.99659379456718,公司企业;公司企业;公司企业
复二代数字印刷工厂,30.718126550206744,103.9930846629079,公司企业;公司企业;公司企业
欣丰平板厂,30.724202348503134,103.99741469171725,公司企业;公司企业;公司企业
巴蜀兰场特种植料厂,30.749062527408682,103.97681809340503,公司企业;工厂;工厂
兴磊石材厂,30.748730020436124,103.9824878853195,公司企业;工厂;工厂
郫县四合桥沟水质净化厂,30.748962622307925,103.98800049516323,公司企业;公司企业;公司企业
成都市天元模具厂,30.708188986818126,103.96579176118534,公司企业;工厂;工厂
成都宏图金印刷喷绘工厂,30.706730819219707,103.98181203088028,公司企业;工厂;工厂
四川民生管业有限责任公司金牛生产厂,30.739402478491833,104.00011039735226,公司企业;工厂;工厂
宏图鑫印喷印工厂,30.70614068069989,103.98172697139965,公司企业;工厂;工厂
显荣机械模具厂,30.70513226533956,103.97002918648938,公司企业;工厂;工厂
成都市金牛区铭嘉机电厂,30.704747481735804,103.97004582061572,公司企业;工厂;工厂
成都市奇勋塑料模具厂,30.746063744060567,103.99980892890959,公司企业;工厂;工厂
奥闽石材厂,30.749303796692637,103.9966664642578,公司企业;公司企业;公司企业
金牛区兴友达水泥加工厂,30.74822195341686,103.99835798872951,公司企业;工厂;工厂
成都市川西电力石化管件厂,30.700625483549416,103.96915466534028,公司企业;工厂;工厂
国营红旗蓄电池厂,30.759261426417183,103.97002133317775,公司企业;工厂;工厂
众生文化传播有限公司乌木工艺品厂,30.754115973321166,103.99568646486958,公司企业;工厂;工厂
犀浦印刷厂,30.75880548350355,103.9618862973811,公司企业;工厂;工厂
鸿发印刷厂,30.75828785628373,103.9588598911008,公司企业;工厂;工厂
豆瓣厂,30.759994894623,103.96356162748363,公司企业;公司企业;公司企业
青羊区华谊箱柜厂,30.754941172165164,103.99880278417233,公司企业;公司企业;公司企业
飞标模具厂,30.75566474719949,103.95214804044892,公司企业;公司企业;公司企业
建盛·压克力工艺制品厂,30.755157044994725,103.99942384805453,公司企业;工厂;工厂
鑫宏城不锈钢铁艺制品加工厂,30.756793476137883,103.99705252046653,公司企业;工厂;工厂
中航工业成飞大雁企业公司新新服装厂,30.701846715359444,103.95281259755161,公司企业;工厂;工厂
成都犀浦电器厂,30.761653998666358,103.9653511101913,公司企业;工厂;工厂
金牛区天河华韵楼梯厂,30.756112030014393,103.99898276041665,公司企业;工厂;工厂
成都川力工程机械维修有限公司,30.7598456636365,103.99315724259505,公司企业;公司;公司
成都成飞大雁企业公司印刷厂,30.701496571585615,103.95186008091804,公司企业;工厂;工厂
成飞制冷暖通设备厂,30.700465131018543,103.95324702009364,公司企业;工厂;工厂
成飞天龙非标设备厂,30.700471189143023,103.9532220066251,公司企业;工厂;工厂
何氏豆业,30.763256333135004,103.96398729650876,公司企业;公司企业;公司企业
成都市金牛区卡欧机械制造厂,30.759672763831503,103.99680467034867,公司企业;工厂;工厂
东城根木制品厂,30.75774627032773,104.00042695995418,公司企业;工厂;工厂
永盛压克力制品厂,30.757745268826586,104.00042896015518,公司企业;工厂;工厂
成都市苏坡环型链条厂,30.69959250912314,103.95123329351554,公司企业;工厂;工厂
麻袋编织袋,30.76327750347577,103.99281884388878,公司企业;公司企业;公司企业
成都森孟机械设备厂,30.69426429527975,103.99164671377872,公司企业;工厂;工厂
西陵厂,30.695461280059806,103.95174369391391,公司企业;公司企业;公司企业
清波牛奶厂,30.68882374094986,103.98526103928265,公司企业;公司企业;公司企业
永新门框,30.768007122733305,103.99875517726278,公司企业;工厂;工厂
兴丰石材厂,30.770583044881253,103.99267064573111,公司企业;工厂;工厂
元通钢化玻璃厂,30.768334985766405,104.00028350675197,公司企业;工厂;工厂
弘历电焊加工厂,30.768746679044614,103.99997265190652,公司企业;工厂;工厂
