name,lat,lng,type
草根串串(锦城店),30.61148587172843,103.98444113678975,餐饮服务;中餐厅;中餐厅
六年、二班·串串(旗舰店),30.636328788543903,103.99674179983211,餐饮服务;中餐厅;特色/地方风味餐厅
豪客来(中海锦城店),30.611123090473303,103.98459533386162,餐饮服务;外国餐厅;西餐厅(综合风味)
伟伟鸭脑壳(簇锦北街店),30.60840018375214,103.9874708518621,餐饮服务;中餐厅;中餐厅
渝锅香火锅,30.624403834601704,103.98373535895375,餐饮服务;中餐厅;火锅店
酥咪铬海鲜自助烧烤,30.606932845909604,103.97954837719303,餐饮服务;中餐厅;特色/地方风味餐厅
六合居(簇桥店),30.622054277632706,103.98231741315398,餐饮服务;中餐厅;中餐厅
尊宝比萨(玲珑郡店),30.613607093246966,103.98310382437735,餐饮服务;快餐厅;快餐厅
成都味道三缺一(簇桥店),30.607689613562336,103.98655699271016,餐饮服务;中餐厅;中餐厅
华莱士(簇桥镇店),30.613866643232733,103.98985950168003,餐饮服务;快餐厅;快餐厅
肯德基(邓小平广场店),30.610921945507886,103.98627063627364,餐饮服务;快餐厅;肯德基
乡村基(簇桥千盛店),30.611263314427557,103.98690454954334,餐饮服务;快餐厅;快餐厅
芭夯兔(簇桥店),30.611159921685523,103.99394046478622,餐饮服务;中餐厅;火锅店
有茗塘(簇桥店),30.602673924134802,103.98948853331171,餐饮服务;中餐厅;海鲜酒楼
六合居巧味馆(翻身巷),30.602696301341382,103.99088170194315,餐饮服务;中餐厅;中餐厅
三顾冒菜(成都百锦店),30.61176984330284,103.98576515638477,餐饮服务;中餐厅;中餐厅
和天下曾传烤鸭(福锦路店),30.62401433587327,103.98354871901374,餐饮服务;中餐厅;特色/地方风味餐厅
重庆传世老火锅(簇桥店),30.611126082624626,103.98462533610274,餐饮服务;中餐厅;火锅店
皇味养生黄牛肉(簇桥店),30.59997454954476,103.99376324626321,餐饮服务;中餐厅;中餐厅
Pizza 4U(中华名园店),30.636499930465423,103.99639252217314,餐饮服务;快餐厅;快餐厅
简朴农家,30.624928671735134,103.98446592413045,餐饮服务;中餐厅;中餐厅
加豪加果木牛排·海鲜自助,30.605642499669088,103.98167300272316,餐饮服务;外国餐厅;牛扒店(扒房)|餐饮服务;外国餐厅;西餐厅(综合风味)
知青牛肉(武侯立交店),30.635736302719167,103.99480937020404,餐饮服务;中餐厅;中餐厅
金五门秘制老火锅(兰亭店),30.621920880296575,103.98209850685154,餐饮服务;中餐厅;火锅店
毛记冒菜(聚荟店),30.629892585916505,103.99235346668223,餐饮服务;中餐厅;中餐厅
草根串串(锦城店),30.61148587172843,103.98444113678975,餐饮服务;中餐厅;中餐厅
六年、二班·串串(旗舰店),30.636328788543903,103.99674179983211,餐饮服务;中餐厅;特色/地方风味餐厅
豪客来(中海锦城店),30.611123090473303,103.98459533386162,餐饮服务;外国餐厅;西餐厅(综合风味)
伟伟鸭脑壳(簇锦北街店),30.60840018375214,103.9874708518621,餐饮服务;中餐厅;中餐厅
渝锅香火锅,30.624403834601704,103.98373535895375,餐饮服务;中餐厅;火锅店
酥咪铬海鲜自助烧烤,30.606932845909604,103.97954837719303,餐饮服务;中餐厅;特色/地方风味餐厅
六合居(簇桥店),30.622054277632706,103.98231741315398,餐饮服务;中餐厅;中餐厅
尊宝比萨(玲珑郡店),30.613607093246966,103.98310382437735,餐饮服务;快餐厅;快餐厅
成都味道三缺一(簇桥店),30.607689613562336,103.98655699271016,餐饮服务;中餐厅;中餐厅
华莱士(簇桥镇店),30.613866643232733,103.98985950168003,餐饮服务;快餐厅;快餐厅
肯德基(邓小平广场店),30.610921945507886,103.98627063627364,餐饮服务;快餐厅;肯德基
乡村基(簇桥千盛店),30.611263314427557,103.98690454954334,餐饮服务;快餐厅;快餐厅
芭夯兔(簇桥店),30.611159921685523,103.99394046478622,餐饮服务;中餐厅;火锅店
有茗塘(簇桥店),30.602673924134802,103.98948853331171,餐饮服务;中餐厅;海鲜酒楼
六合居巧味馆(翻身巷),30.602696301341382,103.99088170194315,餐饮服务;中餐厅;中餐厅
三顾冒菜(成都百锦店),30.61176984330284,103.98576515638477,餐饮服务;中餐厅;中餐厅
和天下曾传烤鸭(福锦路店),30.62401433587327,103.98354871901374,餐饮服务;中餐厅;特色/地方风味餐厅
重庆传世老火锅(簇桥店),30.611126082624626,103.98462533610274,餐饮服务;中餐厅;火锅店
皇味养生黄牛肉(簇桥店),30.59997454954476,103.99376324626321,餐饮服务;中餐厅;中餐厅
Pizza 4U(中华名园店),30.636499930465423,103.99639252217314,餐饮服务;快餐厅;快餐厅
简朴农家,30.624928671735134,103.98446592413045,餐饮服务;中餐厅;中餐厅
加豪加果木牛排·海鲜自助,30.605642499669088,103.98167300272316,餐饮服务;外国餐厅;牛扒店(扒房)|餐饮服务;外国餐厅;西餐厅(综合风味)
知青牛肉(武侯立交店),30.635736302719167,103.99480937020404,餐饮服务;中餐厅;中餐厅
金五门秘制老火锅(兰亭店),30.621920880296575,103.98209850685154,餐饮服务;中餐厅;火锅店
毛记冒菜(聚荟店),30.629892585916505,103.99235346668223,餐饮服务;中餐厅;中餐厅
