name,lat,lng,type
仁和春天百货(光华店),30.66703588072198,104.01619292660708,购物服务;商场;普通商场
优品道广场,30.66832066854595,104.00286283863555,购物服务;商场;普通商场
罗马假日广场,30.641265498411794,104.0381626876934,购物服务;商场;购物中心
伊藤洋华堂(双楠店),30.64989225142444,104.01699233047762,购物服务;商场;购物中心
红牌楼商业广场,30.638301206490514,104.02755477455375,购物服务;商场;普通商场
红牌楼商业城,30.63936418235667,104.02846635272161,购物服务;商场;普通商场
置信广场,30.648825262753213,104.0244170207199,购物服务;商场;普通商场
中开百货,30.67274710959916,104.0283013232009,购物服务;商场;普通商场
茂业百货(武侯店),30.644248745027987,104.03810608684364,购物服务;商场;普通商场
星空购物,30.64814536768802,104.04207324074612,购物服务;商场;购物中心
鹭岛步行街loft广场,30.64961194480909,104.00901583964108,购物服务;商场;商场
金沙生活广场,30.68144224710364,104.00750489368713,购物服务;商场;普通商场
熙悦汇,30.66160809986168,104.0036547114888,购物服务;商场;购物中心
BREEZE,30.649830849471616,104.02557146451684,购物服务;商场;商场
四川特产购物中心,30.66616380187484,104.04597712139244,购物服务;商场;购物中心|购物服务;专卖店;专营店
藏艺吉祥,30.644894509506408,104.04359370512631,购物服务;商场;普通商场
藏艺商场,30.641880012280026,104.04115310910854,购物服务;商场;普通商场
互利通洋商贸城,30.647798971431804,104.01816497808667,购物服务;购物相关场所;购物相关场所
西藏工艺商贸城,30.646888439375775,104.04477662626586,购物服务;专卖店;专营店
瑞虎时尚(恒宾园东南),30.65823236390064,104.0364078966377,购物服务;服装鞋帽皮具店;品牌服装店
奥特莱斯,30.681948132850586,104.03319399368138,购物服务;服装鞋帽皮具店;服装鞋帽皮具店
红帆百货商场,30.678334256660413,104.03718348316343,购物服务;购物相关场所;购物相关场所
奥特莱斯(抚琴西路),30.68360730347798,104.03014842834789,购物服务;服装鞋帽皮具店;服装鞋帽皮具店
仁和春天百货(光华店),30.66703588072198,104.01619292660708,购物服务;商场;普通商场
优品道广场,30.66832066854595,104.00286283863555,购物服务;商场;普通商场
罗马假日广场,30.641265498411794,104.0381626876934,购物服务;商场;购物中心
伊藤洋华堂(双楠店),30.64989225142444,104.01699233047762,购物服务;商场;购物中心
红牌楼商业广场,30.638301206490514,104.02755477455375,购物服务;商场;普通商场
红牌楼商业城,30.63936418235667,104.02846635272161,购物服务;商场;普通商场
置信广场,30.648825262753213,104.0244170207199,购物服务;商场;普通商场
中开百货,30.67274710959916,104.0283013232009,购物服务;商场;普通商场
茂业百货(武侯店),30.644248745027987,104.03810608684364,购物服务;商场;普通商场
星空购物,30.64814536768802,104.04207324074612,购物服务;商场;购物中心
鹭岛步行街loft广场,30.64961194480909,104.00901583964108,购物服务;商场;商场
金沙生活广场,30.68144224710364,104.00750489368713,购物服务;商场;普通商场
熙悦汇,30.66160809986168,104.0036547114888,购物服务;商场;购物中心
BREEZE,30.649830849471616,104.02557146451684,购物服务;商场;商场
四川特产购物中心,30.66616380187484,104.04597712139244,购物服务;商场;购物中心|购物服务;专卖店;专营店
藏艺吉祥,30.644894509506408,104.04359370512631,购物服务;商场;普通商场
藏艺商场,30.641880012280026,104.04115310910854,购物服务;商场;普通商场
互利通洋商贸城,30.647798971431804,104.01816497808667,购物服务;购物相关场所;购物相关场所
西藏工艺商贸城,30.646888439375775,104.04477662626586,购物服务;专卖店;专营店
瑞虎时尚(恒宾园东南),30.65823236390064,104.0364078966377,购物服务;服装鞋帽皮具店;品牌服装店
奥特莱斯,30.681948132850586,104.03319399368138,购物服务;服装鞋帽皮具店;服装鞋帽皮具店
红帆百货商场,30.678334256660413,104.03718348316343,购物服务;购物相关场所;购物相关场所
奥特莱斯(抚琴西路),30.68360730347798,104.03014842834789,购物服务;服装鞋帽皮具店;服装鞋帽皮具店
